id;arrival_summary;arrival_date;arrival_note;arrived_quantity;measure_unit
1;bypass Ameliorated;2019-06-02T07:40:42;526566696e656420696e666f6d656469617269657320536f6d;5819;METER
2;Enterprise-wide Benin;2019-06-01T18:57:08;696e766f696365;27993;METER
3;e-markets system;2019-06-02T10:57:26;4c6f75697369616e61;15864;METER
4;Incredible Fresh Chips;2019-06-01T19:12:53;427269646765;9783;METER
5;withdrawal Generic Frozen Tuna;2019-06-01T14:49:20;6578706c69636974;1530;METER
6;payment Soap;2019-06-02T10:24:31;696e766f696365204f7574646f6f7273204e657720596f726b;94023;METER
7;haptic parsing;2019-06-01T21:04:48;70617273696e6720696e766f696365;20668;METER
8;Fantastic;2019-06-02T11:39:54;47656e65726963;68300;METER
9;wireless;2019-06-02T05:50:45;41766f6e;69289;METER
10;intermediate Table quantify;2019-06-01T16:44:19;50726f647563657220696e66726173747275637475726573;37201;METER
